Geography|Similarity|Measure|Statistic|Xaxis|Yaxis|Highlight
California|All Counties|MD GPs Per 1,000|Max|0.5512240236|0|N
California|All Counties|MD GPs Per 1,000|Mean|0.2709347945||N
California|All Counties|MD GPs Per 1,000|Median|0.2721356939|0.5|N
California|All Counties|MD GPs Per 1,000|Min|0|0|N
California|All Counties|MD GPs Per 1,000|N|58||N
California|All Counties|MD GPs Per 1,000|P1|0|0.01|N
California|All Counties|MD GPs Per 1,000|P10|0.0998003992|0.1|N
California|All Counties|MD GPs Per 1,000|P25|0.1861071046|0.25|N
California|All Counties|MD GPs Per 1,000|P40|0.2438250647|0.4|N
California|All Counties|MD GPs Per 1,000|P5|0.0353569282|0.05|N
California|All Counties|MD GPs Per 1,000|P60|0.3085022185|0.4|N
California|All Counties|MD GPs Per 1,000|P75|0.3369271173|0.25|N
California|All Counties|MD GPs Per 1,000|P90|0.4301027219|0.1|N
California|All Counties|MD GPs Per 1,000|P95|0.5334815226|0.05|N
California|All Counties|MD GPs Per 1,000|P99|0.5512240236|0.01|N
California|All Counties|MD GPs Per 1,000|Santa Barbara (P42)|0.2450736899|0.42|N
California|All Counties|MD GPs Per 1,000|Santa Barbara (P42)|0.2450736899|0.42|Y
California|All Counties|MD GPs Per 1,000|StdDev|0.1266265709||N
California|All Counties|MD Specialists Per 1,000|Max|1.9247501171|0|N
California|All Counties|MD Specialists Per 1,000|Mean|0.5115062831||N
California|All Counties|MD Specialists Per 1,000|Median|0.4079083308|0.5|N
California|All Counties|MD Specialists Per 1,000|Min|0|0|N
California|All Counties|MD Specialists Per 1,000|N|58||N
California|All Counties|MD Specialists Per 1,000|P1|0|0.01|N
California|All Counties|MD Specialists Per 1,000|P10|0.0666311301|0.1|N
California|All Counties|MD Specialists Per 1,000|P25|0.2076977067|0.25|N
California|All Counties|MD Specialists Per 1,000|P40|0.3492752538|0.4|N
California|All Counties|MD Specialists Per 1,000|P5|0|0.05|N
California|All Counties|MD Specialists Per 1,000|P60|0.4976026953|0.4|N
California|All Counties|MD Specialists Per 1,000|P75|0.7121371555|0.25|N
California|All Counties|MD Specialists Per 1,000|P90|1.0641734488|0.1|N
California|All Counties|MD Specialists Per 1,000|P95|1.4374106564|0.05|N
California|All Counties|MD Specialists Per 1,000|P99|1.9247501171|0.01|N
California|All Counties|MD Specialists Per 1,000|Santa Barbara (P76)|0.7509556828|0.24|N
California|All Counties|MD Specialists Per 1,000|Santa Barbara (P76)|0.7509556828|0.24|Y
California|All Counties|MD Specialists Per 1,000|StdDev|0.4107182307||N
California|All Counties|MDs/DOs Per 1,000|Max|4.6537873036|0|N
California|All Counties|MDs/DOs Per 1,000|Mean|1.5853068327||N
California|All Counties|MDs/DOs Per 1,000|Median|1.4106693533|0.5|N
California|All Counties|MDs/DOs Per 1,000|Min|0.2121415691|0|N
California|All Counties|MDs/DOs Per 1,000|N|58||N
California|All Counties|MDs/DOs Per 1,000|P1|0.2121415691|0.01|N
California|All Counties|MDs/DOs Per 1,000|P10|0.456464681|0.1|N
California|All Counties|MDs/DOs Per 1,000|P25|0.8527925078|0.25|N
California|All Counties|MDs/DOs Per 1,000|P40|1.1975151561|0.4|N
California|All Counties|MDs/DOs Per 1,000|P5|0.3424657534|0.05|N
